SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
BSE,D,826847,OPTSTK,0,ADANIGREEN-Aug2026-1460-PE,600.0,ADANIGREEN 27 AUG 1460 PUT,2026-08-27 15:30:00,1460.0,PE,5.0,M,OPTSTK,,AGELOPT
BSE,D,826848,OPTSTK,0,CGPOWER-Aug2026-930-CE,850.0,CGPOWER 27 AUG 930 CALL,2026-08-27 15:30:00,930.0,CE,5.0,M,OPTSTK,,CGPLOPT
BSE,D,826849,OPTSTK,0,BPCL-Aug2026-315-PE,1975.0,BPCL 27 AUG 315 PUT,2026-08-27 15:30:00,315.0,PE,5.0,M,OPTSTK,,BPCLOPT
BSE,D,826850,OPTSTK,0,ITC-Aug2026-282.5-CE,1725.0,ITC 27 AUG 282.5 CALL,2026-08-27 15:30:00,282.5,CE,5.0,M,OPTSTK,,ITCLOPT
BSE,D,826851,OPTSTK,0,UNITDSPR-Aug2026-1350-PE,400.0,UNITDSPR 27 AUG 1350 PUT,2026-08-27 15:30:00,1350.0,PE,5.0,M,OPTSTK,,UNSLOPT
BSE,D,826852,OPTSTK,0,DELHIVERY-Aug2026-450-CE,2075.0,DELHIVERY 27 AUG 450 CALL,2026-08-27 15:30:00,450.0,CE,5.0,M,OPTSTK,,DELLOPT
BSE,D,826853,OPTIDX,0,SENSEX-Aug2026-80400-PE,20.0,SENSEX 27 AUG 80400 PUT,2026-08-27 15:30:00,80400.0,PE,5.0,M,OPTIDX,,BSXOPT
BSE,D,826854,OPTSTK,0,NAM-INDIA-Aug2026-960-CE,625.0,NAM-INDIA 27 AUG 960 CALL,2026-08-27 15:30:00,960.0,CE,5.0,M,OPTSTK,,NAMIOPT
BSE,D,826855,OPTSTK,0,SBILIFE-Aug2026-1780-CE,375.0,SBILIFE 27 AUG 1780 CALL,2026-08-27 15:30:00,1780.0,CE,5.0,M,OPTSTK,,SBLFOPT
BSE,D,826856,OPTIDX,0,SENSEX-Aug2026-82700-PE,20.0,SENSEX 27 AUG 82700 PUT,2026-08-27 15:30:00,82700.0,PE,5.0,M,OPTIDX,,BSXOPT
BSE,D,826857,OPTSTK,0,HDFCAMC-Aug2026-2526-CE,300.0,HDFCAMC 27 AUG 2526 CALL,2026-08-27 15:30:00,2526.0,CE,5.0,M,OPTSTK,,HAMCOPT
BSE,D,826858,OPTSTK,0,360ONE-Aug2026-1120-CE,500.0,360ONE 27 AUG 1120 CALL,2026-08-27 15:30:00,1120.0,CE,5.0,M,OPTSTK,,ONWLOPT
BSE,D,826859,OPTSTK,0,IOC-Aug2026-147-PE,4875.0,IOC 27 AUG 147 PUT,2026-08-27 15:30:00,147.0,PE,5.0,M,OPTSTK,,IOCLOPT
BSE,D,826860,OPTIDX,0,SENSEX-Jul2026-71900-CE,20.0,SENSEX 16 JUL 71900 CALL,2026-07-16 15:30:00,71900.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,826861,OPTSTK,0,CONCOR-Aug2026-475-PE,1250.0,CONCOR 27 AUG 475 PUT,2026-08-27 15:30:00,475.0,PE,5.0,M,OPTSTK,,CCOIOPT
BSE,D,826862,OPTSTK,0,PGEL-Aug2026-440-CE,950.0,PGEL 27 AUG 440 CALL,2026-08-27 15:30:00,440.0,CE,5.0,M,OPTSTK,,PGELOPT
BSE,D,826864,OPTSTK,0,BPCL-Aug2026-280-CE,1975.0,BPCL 27 AUG 280 CALL,2026-08-27 15:30:00,280.0,CE,5.0,M,OPTSTK,,BPCLOPT
BSE,D,826866,OPTSTK,0,SHREECEM-Aug2026-27000-CE,25.0,SHREECEM 27 AUG 27000 CALL,2026-08-27 15:30:00,27000.0,CE,5.0,M,OPTSTK,,SHCMOPT
BSE,D,826867,FUTSTK,0,TITAN-Aug2026-FUT,175.0,TITAN AUG  FUT,2026-08-27 15:30:00,0.0,,5.0,M,FUTSTK,,TITAFUT
BSE,D,826868,OPTSTK,0,BAJFINANCE-Aug2026-970-PE,750.0,BAJFINANCE 27 AUG 970 PUT,2026-08-27 15:30:00,970.0,PE,5.0,M,OPTSTK,,BAFLOPT
BSE,D,826869,OPTSTK,0,MARICO-Aug2026-830-CE,1200.0,MARICO 27 AUG 830 CALL,2026-08-27 15:30:00,830.0,CE,5.0,M,OPTSTK,,MARIOPT
BSE,D,826870,OPTIDX,0,FOCIT-Aug2026-38500-CE,45.0,FOCIT 27 AUG 38500 CALL,2026-08-27 15:30:00,38500.0,CE,5.0,M,OPTIDX,,BITOPT
BSE,D,826871,OPTSTK,0,RVNL-Aug2026-230-CE,1925.0,RVNL 27 AUG 230 CALL,2026-08-27 15:30:00,230.0,CE,5.0,M,OPTSTK,,RVNLOPT
BSE,D,826872,OPTSTK,0,BEL-Aug2026-455-CE,1425.0,BEL 27 AUG 455 CALL,2026-08-27 15:30:00,455.0,CE,5.0,M,OPTSTK,,BELLOPT
BSE,D,826873,OPTSTK,0,BRITANNIA-Aug2026-5500-CE,125.0,BRITANNIA 27 AUG 5500 CALL,2026-08-27 15:30:00,5500.0,CE,5.0,M,OPTSTK,,BRITOPT
BSE,D,826874,OPTSTK,0,BANKINDIA-Jul2026-127.5-PE,5200.0,BANKINDIA 30 JUL 127.5 PUT,2026-07-30 15:30:00,127.5,PE,5.0,M,OPTSTK,,BOILOPT
BSE,D,826875,OPTSTK,0,ALKEM-Aug2026-5650-CE,125.0,ALKEM 27 AUG 5650 CALL,2026-08-27 15:30:00,5650.0,CE,5.0,M,OPTSTK,,ALKMOPT
BSE,D,826876,OPTIDX,0,SENSEX-Jul2026-81000-CE,20.0,SENSEX 16 JUL 81000 CALL,2026-07-16 15:30:00,81000.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,826877,OPTSTK,0,ASHOKLEY-Aug2026-177.5-PE,5000.0,ASHOKLEY 27 AUG 177.5 PUT,2026-08-27 15:30:00,177.5,PE,5.0,M,OPTSTK,,ALLDOPT
BSE,D,826878,OPTSTK,0,ADANIENSOL-Jul2026-1680-CE,675.0,ADANIENSOL 30 JUL 1680 CALL,2026-07-30 15:30:00,1680.0,CE,5.0,M,OPTSTK,,AESLOPT
BSE,D,826879,OPTSTK,0,DIXON-Aug2026-12100-CE,50.0,DIXON 27 AUG 12100 CALL,2026-08-27 15:30:00,12100.0,CE,5.0,M,OPTSTK,,DIXOOPT
BSE,D,826880,OPTSTK,0,ULTRACEMCO-Aug2026-11600-PE,50.0,ULTRACEMCO 27 AUG 11600 PUT,2026-08-27 15:30:00,11600.0,PE,5.0,M,OPTSTK,,ULCLOPT
BSE,D,826881,OPTSTK,0,CUMMINSIND-Aug2026-6000-CE,200.0,CUMMINSIND 27 AUG 6000 CALL,2026-08-27 15:30:00,6000.0,CE,5.0,M,OPTSTK,,CUMLOPT
BSE,D,826882,OPTSTK,0,ADANIGREEN-Aug2026-1450-CE,600.0,ADANIGREEN 27 AUG 1450 CALL,2026-08-27 15:30:00,1450.0,CE,5.0,M,OPTSTK,,AGELOPT
BSE,D,826883,OPTSTK,0,UNITDSPR-Aug2026-1340-CE,400.0,UNITDSPR 27 AUG 1340 CALL,2026-08-27 15:30:00,1340.0,CE,5.0,M,OPTSTK,,UNSLOPT
