Symbol,Price,Prev Close,Change %,Open,High,Low,Volume,Last Update
RELIANCE.NS,1305.699951171875,1295.5,0.7873370260034737,1295.5,1309.4000244140625,1295.5,2791252.0,2026-07-16
TCS.NS,2211.699951171875,2189.199951171875,1.027772725280566,2206.0,2221.300048828125,2187.800048828125,1083357.0,2026-07-16
INFY.NS,1089.9000244140625,1076.300048828125,1.2635858932409367,1082.5,1097.300048828125,1081.0,1617689.0,2026-07-16
HDFCBANK.NS,812.2999877929688,815.4500122070312,-0.38629276680454,814.5,818.0,811.9500122070312,3397735.0,2026-07-16
AAPL,327.5,314.8599853515625,4.0144874663333505,317.6199951171875,328.7300109863281,317.32000732421875,60884500.0,2026-07-15
MSFT,395.6300048828125,384.92999267578125,2.779729408106594,387.79998779296875,398.9599914550781,386.3999938964844,36199900.0,2026-07-15
GOOGL,370.9200134277344,359.510009765625,3.173765222711848,357.9700012207031,373.6499938964844,357.760009765625,28274200.0,2026-07-15
AMZN,254.9600067138672,247.49000549316406,3.018304196089831,249.75,256.4800109863281,249.75,45166300.0,2026-07-15
TSLA,394.4599914550781,396.17999267578125,-0.43414641135366705,399.3999938964844,406.5899963378906,390.6600036621094,31471800.0,2026-07-15
BTC-USD,64570.4296875,64720.35546875,-0.23165166532867879,64720.35546875,64793.71484375,64389.390625,27000715264.0,2026-07-16
